vote_column,dim1,dim2,poll_id,poll_label,accepted,committee,url
v150,0.06989634849110893,-0.08501707404196261,5779,Abstimmungen zum Sicherheitspaket,TRUE,Ausschuss für Inneres und Heimat,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/abstimmungen-zum-sicherheitspaket
v151,0.04666649664823004,-0.06485616712863713,5829,Vertrauensfrage des Bundeskanzlers,FALSE,NA,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/vertrauensfrage-des-bundeskanzlers
v152,0.10101253016322768,0.03894516835847451,5841,Regelungen zum Bundesverfassungsgericht ins Grundgesetz,TRUE,Rechtsausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/regelungen-zum-bundesverfassungsgericht-ins-grundgesetz
v153,0.09744242661095516,0.037457314101266875,5859,Verlängerung des Bundeswehreinsatzes SEA GUARDIAN im Mittelmeer,TRUE,Auswärtiger Ausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/verlaengerung-des-bundeswehreinsatzes-sea-guardian-im-mittelmeer-1
v154,0.1024028511689768,0.05312487637722641,5860,Verlängerung des Bundeswehreinsatzes EUNAVFOR ASPIDES im Roten Meer,TRUE,Auswärtiger Ausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/verlaengerung-des-bundeswehreinsatzes-eunavfor-aspides-im-roten-meer
v155,0.04480661218427421,0.1349740896920774,5861,"Entschließungsantrag ""Fünf-Punkte-Plan"" zur Migrationspolitik",TRUE,NA,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/entschliessungsantrag-fuenf-punkte-plan-zur-migrationspolitik
v156,0.043435266945691414,0.13585807044334255,5864,Zustrombegrenzungsgesetz,FALSE,Ausschuss für Inneres und Heimat,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/zustrombegrenzungsgesetz
v157,0.025505197457985615,0.12968098799288882,5865,"Entschließungsantrag ""27 Maßnahmen zur Stärkung innerer Sicherheit""",FALSE,NA,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/entschliessungsantrag-27-massnahmen-zur-staerkung-innerer-sicherheit
v158,0.10280874422705102,0.05157683868165333,5867,Verlängerung des Bundeswehreinsatzes UNMISS im Südsudan,TRUE,Auswärtiger Ausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/verlaengerung-des-bundeswehreinsatzes-unmiss-im-suedsudan
v159,0.09791104586325625,0.03784621295959592,5868,Verlängerung des Bundeswehreinsatzes EUNAVFOR MED IRINI im Mittelmeer,TRUE,Auswärtiger Ausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/verlaengerung-des-bundeswehreinsatzes-eunavfor-med-irini-im-mittelmeer
v160,0.105540316585285,0.041881555523989485,5871,Verlässliches Hilfesystem bei geschlechtsspezifischer und häuslicher Gewalt,TRUE,"Ausschuss für Familie, Senioren, Frauen und Jugend",https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/verlaessliches-hilfesystem-bei-geschlechtsspezifischer-und-haeuslicher-gewalt
v161,0.08259193397437474,0.05428445643852628,5957,Lockerung der Schuldenbremse,TRUE,Haushaltsausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/lockerung-der-schuldenbremse
