party,mean,lo,hi
SPD,-0.9386887181862171,-0.9900999942176955,-0.8419215058399045
BÜNDNIS 90/DIE GRÜNEN,-0.757980006799173,-0.8281039022259896,-0.6716432295661255
FDP,-0.24942975608454565,-0.2889447882804427,-0.19778568717229508
CDU/CSU,0.9488152950346201,0.9161657460831838,0.9718045821984499
AfD,1.5281315145151804,1.4962963925128674,1.5447023972784002
