vote_column,dim1,dim2,poll_id,poll_label,accepted,committee,url
v031,0.007472628611466146,0.09938287814747473,4655,Verlängerung des Bundeswehreinsatzes im Kosovo (KFOR 2022/2023),TRUE,Auswärtiger Ausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/verlaengerung-des-bundeswehreinsatzes-im-kosovo-kfor-2022/2023
v032,0.007279631089075623,0.09591625825698762,4657,Beteiligung der Bundeswehr an der EU-geführten Sicherheitsoperation in Bosnien und Herzegowina (EUFOR ALTHEA),TRUE,Auswärtiger Ausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/beteiligung-der-bundeswehr-an-der-eu-gefuehrten-sicherheitsoperation-in-bosnien-und-herzegowina-eufor-althea
v033,0.14107983302308863,0.016206658459649984,4661,Bundeswehrbeschaffungsbeschleunigungsgesetz (Entschließungsantrag CDU/CSU-Fraktion),FALSE,Wirtschaftsausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/bundeswehrbeschaffungsbeschleunigungsgesetz-entschliessungsantrag-cdu/csu-fraktion
v034,-0.09422559528797361,-0.015459918210008701,4663,Schnellerer Ausbau erneuerbarer Energien,TRUE,Ausschuss für Klimaschutz und Energie,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/schnellerer-ausbau-erneuerbarer-energien
v035,-0.09565021055652063,-0.01622433516220673,4666,Änderung des Bundesnaturschutzgesetzes,TRUE,"Ausschuss für Umwelt, Naturschutz, nukleare Sicherheit und Verbraucherschutz",https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/aenderung-des-bundesnaturschutzgesetzes
v036,0.15675265052010587,-0.07786954472096819,4667,Bereithaltung von Ersatzkraftwerken (Änderungsantrag CDU/CSU-Fraktion),FALSE,Ausschuss für Klimaschutz und Energie,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/bereithaltung-von-ersatzkraftwerken-aenderungsantrag-cdu/csu-fraktion
v037,-0.0942328292392907,-0.022037840069788775,4668,Ausbau von Windenergieanlagen an Land erhöhen und beschleunigen,TRUE,Ausschuss für Klimaschutz und Energie,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/ausbau-von-windenergieanlagen-an-land-erhoehen-und-beschleunigen
v038,0.0074971460657550885,0.10342759673740978,4673,Änderung des Windenergie-auf-See-Gesetzes,TRUE,Ausschuss für Klimaschutz und Energie,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/aenderung-des-windenergie-auf-see-gesetzes
v039,-0.07034601516633933,-0.18546127933585632,4674,Beschleunigter Ausbau erneuerbarer Energien (Beschlussempfehlung),TRUE,Ausschuss für Klimaschutz und Energie,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/beschleunigter-ausbau-erneuerbarer-energien-beschlussempfehlung
v040,-0.0958541689955071,-0.013826794605145859,4719,Stärkung des Schutzes der Bevölkerung vor COVID-19,TRUE,Gesundheitsausschuss,https://www.abgeordnetenwatch.de/bundestag/20/abstimmungen/staerkung-des-schutzes-der-bevoelkerung-vor-covid-19
